fahrzeug_id,typ,kilometerstand,laenge,hoehe,gewicht,sitze,farbe,ps,schaltung,verbrauch,neupreis,gebrauchtpreis,erstzulassung
1,Kompactwagen,44356.62,4.8,1.66,1225,5,gelb,120,Handschaltung,5.3,69400.96,39406.15,2022-04-13
2,Kompaktwagen,52881.994,4.57,1.57,1997,4,schwarz,171,Handschaltung,8.45,40441.14,22737.53,2023-03-16
3,Kompaktwagen,47186.434,4.19,1.62,1922,4,grau,161,Automatik,7.93,38245.55,21890.94,2023-03-27
4,Kompaktwagen,66566.266,4.37,1.36,1659,4,gelb,182,Automatik,5.88,38662.15,18563.32,2022-06-12
5,Kompaktwagen,45336.801,4.37,1.56,1900,4,gelb,181,Automatik,7.87,30981.58,14703.85,2022-11-20
6,Kompaktwagen,66234.355,4.24,1.44,1725,5,schwarz,160,Automatik,6.45,30443.01,9787.41,2021-12-27
7,Kompaktwagen,24503.196,4.26,1.68,2042,5,grün,145,Automatik,8.84,32223.6,20098.41,2023-11-04
8,Kompaktwagen,55799.589,4.3,1.63,1956,5,blau,147,Automatik,8.07,36543.82,18190.62,2022-10-05
9,Kompaktwagen,33352.655,4.22,1.62,1896,4,grau,157,Automatik,8.09,44396.06,31043.96,2024-01-09
10,Kompaktwagen,67248.212,4.13,1.45,1657,5,blau,130,Handschaltung,6.24,37525.86,16998.99,2022-02-07
11,Kompaktwagen,69628.781,4.17,1.67,1985,4,grau,178,Handschaltung,9.73,34092.49,13229.55,2021-06-05
12,Kompaktwagen,48562.043,4.28,1.41,1717,4,grau,118,Automatik,5.6,35217.22,18260.97,2023-04-18
13,Kompaktwagen,81950.17,4.33,1.51,1786,4,gelb,134,Handschaltung,7.0,32738.72,9021.12,2021-11-11
14,Kompaktwagen,55484.623,4.24,1.45,1714,4,grün,190,Automatik,6.77,31795.07,13340.54,2023-02-04
15,Kompaktwagen,72495.793,4.2,1.36,1614,5,blau,108,Handschaltung,5.63,25236.08,3585.12,2021-08-07
16,Kompaktwagen,35567.163,4.26,1.47,1707,4,rot,163,Automatik,6.32,25900.96,12234.41,2023-05-18
17,Kompaktwagen,56472.98,4.11,1.35,1556,4,rot,154,Automatik,5.52,47098.75,28331.62,2023-01-17
18,Kompaktwagen,62737.574,4.27,1.5,1837,4,schwarz,92,Automatik,5.87,33142.53,13517.24,2022-03-08
19,Kompaktwagen,69363.946,4.25,1.47,1751,4,schwarz,168,Automatik,6.58,36313.23,14605.9,2021-11-17
20,Kompaktwagen,83326.122,4.43,1.44,1823,5,schwarz,189,Automatik,6.57,34674.68,10881.11,2021-04-03
21,Kompaktwagen,68964.658,4.44,1.4,1777,5,grau,127,Automatik,5.78,25291.3,4387.81,2021-12-12
22,Kompaktwagen,62873.068,4.19,1.57,1828,4,grau,134,Automatik,7.03,35262.58,15351.62,2022-03-30
23,Kompaktwagen,52225.51,4.21,1.37,1571,4,schwarz,93,Automatik,5.04,31157.65,12547.02,2022-09-03
24,Kompaktwagen,25575.871,4.27,1.45,1723,4,schwarz,103,Automatik,5.57,23708.08,11465.54,2023-09-15
25,Kompaktwagen,37226.14,4.27,1.44,1744,4,schwarz,95,Automatik,5.37,38422.42,23919.79,2023-01-04
26,Kompaktwagen,34930.02,4.24,1.29,1545,4,gelb,93,Handschaltung,4.82,29627.57,15654.72,2022-11-05
27,Kompaktwagen,36276.753,4.37,1.54,1917,4,schwarz,148,Handschaltung,7.69,37056.1,22679.46,2022-10-16
28,Kompaktwagen,64429.716,4.33,1.5,1791,4,blau,205,Automatik,7.24,40051.23,19561.25,2022-04-27
29,Kompaktwagen,62709.703,4.25,1.54,1810,4,schwarz,160,Automatik,7.12,39660.43,20162.27,2022-10-02
30,Kompaktwagen,60456.354,4.19,1.59,1858,4,gelb,134,Handschaltung,7.88,41115.12,21991.46,2022-10-20
31,Kompaktwagen,45915.934,4.36,1.37,1649,4,gelb,133,Automatik,5.51,27479.17,10442.97,2022-12-17
32,Kompaktwagen,39853.656,4.31,1.5,1784,4,blau,141,Automatik,6.32,29691.6,14568.07,2022-12-01
33,Kompaktwagen,40570.765,4.3,1.73,2067,4,grau,172,Automatik,9.99,37567.12,22438.06,2023-08-02
34,Kompaktwagen,59746.388,4.33,1.57,1906,5,schwarz,123,Handschaltung,7.72,28786.38,9142.03,2022-11-16
35,Kompaktwagen,68330.134,4.22,1.46,1720,4,blau,104,Automatik,5.91,28719.17,8745.1,2021-07-19
36,Kompaktwagen,28459.252,4.39,1.58,1899,4,grau,183,Handschaltung,8.83,38765.46,25537.46,2022-10-15
37,Kompaktwagen,59905.808,4.45,1.44,1770,4,schwarz,166,Handschaltung,6.97,35022.31,15901.55,2022-08-31
38,Kompaktwagen,59916.84,4.4,1.4,1699,5,gelb,148,Handschaltung,6.17,30629.89,11641.52,2022-06-01
39,Kompaktwagen,47840.528,4.33,1.3,1574,4,gelb,157,Automatik,5.3,32134.95,14709.97,2022-09-06
40,Kompaktwagen,37558.676,4.33,1.66,2050,4,blau,188,Automatik,9.1,34006.33,19533.47,2023-05-09
41,Kompaktwagen,55052.37,4.27,1.61,1925,5,grau,132,Automatik,7.27,38889.28,20225.64,2022-12-05
42,Kompaktwagen,39598.232,4.44,1.48,1799,4,gelb,145,Automatik,6.38,30989.91,16492.31,2022-07-03
43,Kompaktwagen,79286.837,4.31,1.37,1705,5,gelb,112,Automatik,5.05,41455.92,18434.23,2021-06-10
44,Kompaktwagen,36767.776,4.22,1.21,1461,4,schwarz,171,Automatik,4.99,37564.78,23409.78,2022-12-12
45,Kompaktwagen,44090.162,4.26,1.48,1719,4,blau,206,Automatik,7.31,32362.42,15975.41,2023-02-04
46,Kompaktwagen,59202.029,4.26,1.38,1636,4,blau,113,Automatik,5.24,26891.65,8175.2,2022-06-23
47,Kompaktwagen,51933.711,4.17,1.65,1895,4,blau,137,Handschaltung,8.83,35650.02,18068.97,2022-06-03
48,Kompaktwagen,26297.036,4.29,1.58,1910,4,grün,77,Automatik,6.3,24299.06,12089.39,2023-06-09
49,Kompaktwagen,48486.861,4.19,1.6,1892,4,blau,125,Automatik,7.4,30866.63,14706.0,2022-11-01
50,Kompaktwagen,36951.469,4.26,1.7,2072,5,schwarz,179,Automatik,9.51,34596.41,20671.74,2023-02-16
51,Kompaktwagen,67637.191,4.29,1.47,1757,5,grün,173,Handschaltung,7.34,37146.18,16355.11,2022-02-15
52,Kompaktwagen,37107.227,4.29,1.54,1849,4,rot,151,Automatik,6.88,33207.55,18817.08,2023-09-18
53,Kompaktwagen,60104.106,4.5,1.62,2042,5,schwarz,159,Handschaltung,8.59,44803.5,25011.36,2022-04-27
54,Kompaktwagen,47211.893,4.31,1.6,1954,5,grau,164,Automatik,8.05,38771.71,22699.95,2022-06-25
55,Kompaktwagen,31793.089,4.33,1.52,1836,4,grün,116,Automatik,6.05,30990.77,17310.67,2023-10-14
56,Kompaktwagen,66530.98,4.21,1.46,1766,4,rot,159,Handschaltung,6.82,33462.77,13844.27,2022-07-20
57,Kompaktwagen,69654.919,4.17,1.45,1709,4,grün,187,Handschaltung,7.2,41393.03,19880.41,2021-09-07
58,Kompaktwagen,22244.315,4.3,1.48,1775,4,schwarz,88,Handschaltung,6.18,36916.98,25926.15,2024-03-21
59,Kompaktwagen,44357.224,4.14,1.43,1629,4,gelb,196,Handschaltung,7.08,42244.78,26416.16,2022-08-25
60,Kompaktwagen,72322.936,4.51,1.58,2024,4,grün,171,Automatik,7.8,32515.82,10889.6,2022-02-07
61,Kompaktwagen,30691.997,4.4,1.49,1876,4,schwarz,153,Automatik,6.53,37183.51,24108.38,2022-12-22
62,Kompaktwagen,54261.339,4.4,1.58,1933,4,schwarz,130,Handschaltung,8.07,26601.86,8239.75,2022-07-19
63,Kompaktwagen,77333.911,4.26,1.39,1649,5,schwarz,159,Automatik,6.01,30087.19,7708.97,2021-07-11
64,Kompaktwagen,64399.621,4.23,1.53,1791,4,rot,148,Handschaltung,7.3,38632.33,19343.05,2022-05-20
65,Kompaktwagen,54808.049,4.41,1.51,1836,4,grau,153,Automatik,6.81,39344.6,20843.49,2022-09-19
66,Kompaktwagen,60925.663,4.31,1.47,1762,4,schwarz,117,Automatik,6.14,29789.81,10678.98,2022-08-13
67,Kompaktwagen,54460.713,4.41,1.6,1935,4,rot,157,Automatik,7.86,25662.66,7138.15,2023-03-08
68,Kompaktwagen,64252.104,4.25,1.68,1956,4,schwarz,163,Automatik,9.3,26653.18,6761.09,2022-03-27
69,Kompaktwagen,67898.01,4.45,1.42,1773,4,gelb,127,Automatik,5.59,25754.74,5051.15,2022-01-23
70,Kompaktwagen,65670.8,4.27,1.53,1816,4,gelb,127,Automatik,6.7,31912.21,11917.25,2021-11-17
71,Kompaktwagen,44383.737,4.35,1.42,1721,4,blau,97,Handschaltung,5.63,21974.92,5683.38,2023-04-08
72,Kompaktwagen,52582.72,4.11,1.54,1753,4,gelb,113,Automatik,6.34,28709.36,10899.73,2022-09-14
73,Kompaktwagen,34476.37,4.45,1.59,1963,5,blau,187,Automatik,8.27,28729.8,14651.92,2023-07-23
74,Kompaktwagen,73402.029,4.34,1.47,1788,4,blau,127,Automatik,6.25,30449.77,9377.93,2021-11-09
75,Kompaktwagen,46407.333,4.4,1.62,1983,4,gelb,172,Automatik,8.16,39030.85,22471.32,2022-09-20
76,Kompaktwagen,45892.395,4.31,1.36,1653,4,schwarz,94,Handschaltung,5.39,27277.41,11383.8,2022-12-31
77,Kompaktwagen,75670.795,4.24,1.56,1866,4,grau,176,Automatik,8.08,37317.72,15311.64,2021-05-01
78,Kompaktwagen,47349.556,4.37,1.51,1837,4,gelb,179,Automatik,7.19,38134.91,21134.16,2022-07-18
79,Kompaktwagen,66049.946,4.39,1.59,1947,5,blau,170,Automatik,7.75,32511.78,12750.33,2022-10-17
80,Kompaktwagen,69550.979,4.28,1.53,1745,4,schwarz,120,Automatik,6.41,32256.56,11111.9,2022-02-24
81,Kompaktwagen,41229.255,4.25,1.41,1664,5,schwarz,166,Handschaltung,6.43,31788.33,16345.85,2023-07-14
82,Kompaktwagen,54279.074,4.42,1.61,2028,4,grau,152,Handschaltung,8.879999999999999,28613.53,10244.12,2022-08-27
83,Kompaktwagen,65844.885,4.27,1.29,1532,4,blau,209,Automatik,6.07,39833.01,20063.69,2022-05-16
84,Kompaktwagen,49713.728,4.33,1.64,1986,5,blau,155,Handschaltung,8.969999999999999,29184.2,11664.52,2022-08-20
85,Kompaktwagen,52836.769,4.33,1.56,1932,4,rot,125,Handschaltung,7.61,31339.97,13847.58,2022-04-01
86,Kompaktwagen,56773.833,4.22,1.48,1744,5,schwarz,129,Automatik,6.24,37446.39,19336.35,2022-05-06
87,Kompaktwagen,47491.275,4.4,1.44,1807,5,schwarz,163,Automatik,6.23,42408.59,26269.47,2022-05-04
88,Kompaktwagen,59431.621,4.31,1.37,1667,4,grau,150,Handschaltung,6.17,42628.82,23803.13,2022-04-28
89,Kompaktwagen,40364.212,4.47,1.65,2035,4,schwarz,184,Automatik,8.85,35004.14,20206.62,2023-03-01
90,Kompaktwagen,46637.051,4.41,1.35,1674,5,blau,115,Handschaltung,5.68,36501.26,19680.83,2022-08-27
91,Kompaktwagen,18076.865,4.3,1.45,1732,4,blau,143,Automatik,6.18,38015.22,27662.56,2025-01-05
92,Kompaktwagen,59913.937,4.32,1.62,1912,4,blau,133,Handschaltung,8.4,37637.56,18603.21,2022-08-15
93,Kompaktwagen,72738.057,4.41,1.44,1726,4,blau,196,Automatik,6.75,41295.48,20014.91,2021-09-27
94,Kompaktwagen,45496.408,4.24,1.52,1804,4,grau,114,Handschaltung,7.13,32151.1,16049.03,2023-10-16
95,Kompaktwagen,55866.729,4.28,1.55,1816,4,schwarz,154,Automatik,7.32,33212.87,14497.65,2022-04-09
96,Kompaktwagen,51356.078,4.15,1.58,1851,4,blau,156,Automatik,7.77,29645.57,12146.85,2023-08-03
97,Kompaktwagen,62135.334,4.17,1.45,1718,5,gelb,181,Handschaltung,7.16,33288.25,13120.15,2022-05-14
98,Kompaktwagen,31006.905,4.32,1.4,1684,5,schwarz,122,Automatik,5.56,24105.77,11284.69,2023-06-23
99,Kompaktwagen,71035.446,4.21,1.59,1898,4,blau,119,Automatik,7.23,25627.37,4491.56,2022-02-25
100,Kompaktwagen,88959.501,4.16,1.5,1764,4,blau,161,Automatik,6.87,34506.2,9957.64,2021-02-19
101,Kompaktwagen,1848.407,4.27,1.27,1468,5,schwarz,161,Automatik,5.1,33305.4,30397.68,2025-02-16
102,Kompaktwagen,49526.694,4.32,1.66,2021,4,grau,159,Handschaltung,9.38,43155.26,26482.61,2022-06-04
103,Kompaktwagen,64989.446,4.32,1.71,2097,5,schwarz,165,Automatik,9.39,35011.29,14912.27,2022-03-13
104,Kompaktwagen,69921.706,4.23,1.68,2035,4,grün,206,Handschaltung,10.86,39553.36,18256.57,2022-04-29
105,Kompaktwagen,65295.17,4.36,1.41,1729,5,rot,122,Handschaltung,6.02,29655.65,10314.68,2021-08-30
106,Kompaktwagen,24020.76,4.27,1.5,1805,4,gelb,150,Automatik,6.6,38688.37,26940.33,2024-01-23
107,Kompaktwagen,28705.222,4.31,1.51,1783,4,grau,150,Automatik,6.53,33582.43,21877.74,2023-10-20
108,Kompaktwagen,86254.403,4.32,1.41,1682,4,grün,131,Automatik,5.73,33175.77,9295.04,2021-02-02
109,Kompaktwagen,51504.738,4.27,1.57,1913,4,schwarz,181,Automatik,7.87,29292.89,11540.63,2023-01-31
110,Kompaktwagen,70324.186,4.29,1.42,1694,5,schwarz,192,Handschaltung,7.25,39794.5,19127.53,2021-11-14
111,Kompaktwagen,24458.595,4.31,1.43,1703,5,blau,156,Automatik,6.07,47190.36,34919.72,2023-06-17
112,Kompaktwagen,53273.659,4.36,1.53,1829,4,grau,156,Automatik,7.01,45522.86,27621.84,2022-04-17
113,Kompaktwagen,33775.461,4.35,1.54,1869,4,rot,157,Automatik,7.06,30182.3,15769.23,2023-04-27
114,Kompaktwagen,12935.183,4.26,1.31,1558,5,blau,166,Handschaltung,6.0,42481.16,33728.6,2025-03-23
115,Kompaktwagen,50841.6,4.39,1.44,1740,4,gelb,137,Automatik,5.94,38017.66,20937.51,2022-11-23
116,Kompaktwagen,40068.011,4.49,1.54,1932,4,grau,209,Handschaltung,8.77,33570.51,18521.03,2023-08-30
117,Kompaktwagen,61235.301,4.41,1.56,1958,4,gelb,159,Handschaltung,8.2,31976.98,12524.35,2021-10-29
118,Kompaktwagen,41046.606,4.37,1.67,2069,4,gelb,156,Automatik,8.8,37354.89,21935.8,2022-10-25
119,Kompaktwagen,20.0,4.28,1.56,1862,4,rot,181,Automatik,7.61,37282.36,37198.55,2024-06-08
120,Kompaktwagen,46117.915,4.29,1.58,1898,5,schwarz,131,Automatik,7.61,43224.21,26505.21,2022-12-21
121,Kompaktwagen,69915.273,4.47,1.61,1976,4,blau,129,Handschaltung,8.43,31729.38,10790.22,2021-10-28
122,Kompaktwagen,75398.503,4.1,1.62,1840,5,grün,88,Automatik,6.64,32579.69,10433.8,2022-02-09
123,Kompaktwagen,21048.323,4.3,1.42,1714,4,schwarz,151,Automatik,5.97,30740.04,20283.07,2024-01-31
124,Kompaktwagen,82399.495,4.23,1.45,1745,4,rot,116,Handschaltung,6.33,40772.19,17048.79,2021-11-17
125,Kompaktwagen,68678.835,4.23,1.51,1773,4,gelb,147,Automatik,6.65,33156.11,12493.41,2021-09-26
126,Kompaktwagen,56928.077,4.23,1.65,1998,4,blau,137,Automatik,8.129999999999999,30876.8,11379.47,2022-04-02
127,Kompaktwagen,74380.279,4.18,1.54,1820,4,grau,145,Automatik,6.68,28667.06,6739.29,2021-06-22
128,Kompaktwagen,45498.763,4.29,1.42,1668,4,rot,168,Automatik,6.16,36041.74,20045.26,2022-04-15
129,Kompaktwagen,57200.731,4.18,1.44,1654,4,grün,104,Automatik,5.52,28432.41,10286.61,2022-03-12
130,Kompaktwagen,78920.171,4.29,1.48,1779,5,grau,93,Automatik,5.56,23579.35,533.97,2021-06-24
131,Kompaktwagen,40842.454,4.29,1.49,1776,4,schwarz,158,Automatik,6.51,33109.3,17844.79,2023-02-06
132,Kompaktwagen,42765.419,4.52,1.49,1858,4,grau,176,Automatik,6.85,32037.06,16160.3,2023-01-20
133,Kompaktwagen,104359.971,4.17,1.48,1772,4,grün,118,Handschaltung,6.14,31590.03,3664.48,2020-09-03
134,Kompaktwagen,36403.723,4.27,1.48,1754,4,gelb,135,Handschaltung,7.07,38019.72,22885.86,2023-07-09
135,Kompaktwagen,41735.757,4.26,1.58,1865,4,schwarz,131,Automatik,7.22,36180.65,20763.13,2023-02-03
136,Kompaktwagen,77088.87,4.38,1.35,1630,4,schwarz,149,Handschaltung,6.02,33953.41,11308.97,2021-09-18
137,Kompaktwagen,60242.948,4.28,1.63,1974,4,grün,181,Automatik,8.49,34177.5,14730.72,2022-11-18
138,Kompaktwagen,56986.07,4.38,1.52,1824,4,grau,165,Automatik,7.09,33842.15,14576.53,2022-11-13
